genre,chat
yes,はい
yes,問題ない
yes,わかった
yes,おお
yes,Sir! Yes! Sir!
yes,よし
yes,かまわん
yes,よかろう
yes,絶対だ
yes,まかせろ
yes,なんとかしてやる
yes,名誉にかけて
no,だめだ
no,断る
no,無理だ
no,それは難しい
no,それはまずい
no,すまない
no,いや待て
no,期待にはこたえられない
no,次の機会にな
no,その余裕がない
no,できたら、とっくにやってる
aimai,がんばるよ
aimai,努力はする
aimai,時間をくれ
aimai,できたらな
aimai,できないとはいわないが
aimai,明日考えよう
aimai,かもしれないな
aimai,そういう噂だ
aimai,って話だな
aimai,いい質問だ
aimai,うまいこというな
aimai,ああそうかよ
thx,ありがとう
thx,礼をいっておこう
thx,命の恩人だ
thx,この借りは倍にして返すぜ
thx,今度は俺が助けてやるからな
thx,EDFは仲間を見捨てない。本当だな。
thx,愛してるぞ！
agree,そうだな
agree,その通りだ
agree,正解だ
agree,間違いない
agree,それが正しい
agree,お前は間違ってない
agree,当たり前だ
agree,やってみろ
agree,任せたぞ
disagree,違う
disagree,そんなことはない
disagree,そうみえるだけだ
disagree,見間違いだ
mistake,間違えた
mistake,撤回する
mistake,なかったことにしろ
mistake,やりなおしだ
mistake,チャットの選択ミスだ
mistake,ボタンを間違えた
mistake,武器を間違えた
mistake,目標を間違えた
mistake,距離を間違えた
mistake,作戦を間違えた
mistake,ビークルを間違えた
mistake,難易度を間違えた
mistake,設定を間違えた
preasure,やったぜ！
preasure,オオーーッ！
preasure,イエーーーーッ！
preasure,やったぜ
preasure,命中！
preasure,復帰したぞ！
preasure,楽勝だな！
laugh,ハハハ
laugh,アッハッハ
laugh,クスクス
laugh,フッ
laugh,おもしろい奴だ
laugh,イヒヒ
agree,コラ！
agree,危険だ！
agree,待つんだ！
agree,味方に当たってるぞ！
agree,攻撃するな！
agree,無茶するな！
agree,もっと仲間を頼れ！
agree,先に行かないでくれ！
agree,じっとしてるんだ！
agree,ビークルを大事にしろ！
sad,失望したぞ
sad,惜しい！
sad,無念だ
sad,しゅーん
sad,くやしいです
sad,失敗した
sad,気絶した
sad,狙いがそれた
sad,爆発した
sad,何かが爆発した
