genre,voice
5,新人ってのは君か？さあ始めよう
5,今日の仕事は基地内の車両誘導だ。見学ツアーに大勢来るからなぁ。忙しくなるぞ
5,車の誘導には慣れてるだろうが、基地には戦車やコンバットフレームもある。気を抜くなよ
5,今いる所は基地の地下倉庫だ。こんな場所しか借りられなかった。ここで簡単な研修をしよう
5,いいね
5,悪くない
5,合格
5,新人ってのは君か？さあ始めよう
5,午後から基地見学ツアーに大勢やって来る。見学客を最後に楽しませるのが君たちの飛行ショーだ
5,それがフライトユニットかい？空を飛べるなんて羨ましい。ショーが楽しみだよ
5,じゃあ段取りを確認しておこう
5,いいね
5,さすがだね
5,やるなぁ
5,合格
5,新人ってのは君か？さあ始めよう
5,ここはEDF基地の地下。倉庫や格納庫として使われている。修理を頼みたいビークルがあるんだ
5,きみは優秀な技術者だって聞いてる。大型車両の運転ライセンスも持ってるらしいな。頼りにしてるよ
5,それと軍の無線も使って構わないらしい。ずいぶん信用されているんだなあ
5,いいね
5,さすがだね
5,合格
5,新人ってのは君か？さあ始めよう
5,今日の仕事は貨物の運搬だ。地下室の貨物を地上まで運びたい
5,きみが装着しているのはパワードスケルトン。凄い力を出せる。貨物だってひとりで運べるぞ
5,元々は軍事用の技術だって噂だ。戦車並みの力が出せるぞ
5,いいね
5,やるなぁ
5,合格
5,じゃあ仕事にかかろう
5,案内するよ。ついて来て
5,はぐれないように。基地の地下は広いから迷子になるよ
5,怪物だ！逃げろ！逃げろー！
5,大丈夫、問題ないよ
5,ん、なんだ？
5,照明はすぐに直るさ
5,扉を開けよう
5,こっちだ。車両に気をつけて
5,パワードスケルトンっていうのは車と同じだ。ぶつかると危ないよ
5,応答しろ！どうなってるんだ！
5,食われた！ジョージが食われた！
5,気にしなくていいよ。軍人ってのはこういう悪ふざけが大好きなんだ
5,戦車に気をつけて。ここは車両用の通路なんだ。轢かれないように
5,またか……電気のトラブルかな
5,ライトをつければ大丈夫
5,コンバットフレームが来た。気をつけて
5,この基地は人間には広すぎるよ。軍事用の車両に合わせて作ってあるらしい
5,ここを曲がろう
5,非常事態発生！非常事態発生！これは訓練ではない！繰り返す、これは訓練ではない！
5,本当に何かあったのかもしれないな
5,そう緊張しなくいいよ
5,この扉の奥が……
5,ええっ！？
5,うわああ、うわああああああ！助けてえええ！ぐわっはあああああ！
5,撃て！撃て！
5,なんてデカさだ！
5,死ね！化け物め！
5,こいつらは一体なんだ！
5,こんな生き物は見たことがねえ！
5,恐竜の生き残りって訳じゃないよな
5,危ないところだったな
5,誰だこいつ？
5,大丈夫か。お前は民間人だな。来い、武器をやる
5,非常事態だ。基地に怪物が侵入した
5,怪物の数は不明、正体も不明。どうやって地下に入ってきたのかも分からない
5,地上とは連絡が取れず、俺たちは孤立している
5,救援部隊が到着するまで、自力で身を守るしかない。お前にも、武器を渡しておく
5,民間人を守るのが軍人の務め。守ってやる……と言いたいが、敵の正体が分からない以上、約束は出来ない。いざという時は、この武器で自分の身を守れ
5,使い方はこれから教える
5,そうだ
5,いいぞ
5,その調子だ
5,筋がいいぞ
5,悪くない
5,そうだ
5,いいぞ
5,その調子だ
5,筋がいいぞ
5,そうだ
5,いいぞ
5,その調子だ
5,筋がいいぞ
5,いい判断だ
5,悪くない
5,そうだ
5,いいぞ
5,その調子だ
5,筋がいいぞ
5,いい判断だ
5,いいんじゃないか
5,悪くない
5,少しは戦えるようになったな。よし、ついて来い
5,警報システムが作動したせいで隔壁が下りています。予定のルートは通れそうもありません
5,そうか
5,俺なら隔壁のロックを解除できる。全員でここから脱出するぞ
5,俺が先頭を進む。周囲を警戒しながらついて来い
5,民間人！怪物と遭遇するかもしれない。自分の身は自分で守れ。いいな！
5,怪物が潜んでいるかもしれない。周囲を警戒しろ！
5,民間人、遅れるなよ。生き延びたければ俺から離れるな！
5,非常事態だ。民間人も働いてくれよな
5,戦えないやつは、やつらの餌にしちまうぞ！
5,そう言うな。出来るだけ俺たちが守る
5,銃を持ったのは初めてか？
5,ビビんなよ
5,銃口を敵に向ける。引き金を引く。簡単だ
5,手が震えてなければな
5,エレベーターはこっちだ
5,隔壁のロックを解除する
5,怪物だ！
5,仲間が襲われてるぞ
5,怪物を撃て！
5,こいつら、大群だ！
5,助けてくれええ！
5,なんて巨大なんだ！
5,あの牙を見ろ！噛みつかれたら、ひとたまりもねえ！
5,一匹残らず駆除しろ！
5,突然襲われて……。みんなやられた
5,助かりました。何が起こっているんですか！？
5,地下から脱出するぞ。エレベーターに向かう！
5,エレベーターは動かない。ケーブルをやられたようだ
5,このルートは駄目か……。戻るぞ
5,エレベーターは使えない。となると……AFV用の道がある。それを通って地上へと向かう
5,隔壁を開く。下がっていろ
5,AFV用の道だ。斜度に気をつけろ
5,地上へ向かう。ついて来い！
5,怪物を倒す切り札がある。上のフロアに、コンバットフレームの格納庫があるはずだ！
5,急いで格納庫に向かいましょう！
5,コンバットフレームがありゃ、あんな化け物に負けやしねえ！
5,怪物だ！
5,仲間が危ない！
5,助けるぞ！
5,突入して仲間を援護する！
5,左右から来るぞ！
5,ちきしょう！挟み撃ちかよ！
5,生き延びるためには戦うしかない！やるぞ！
5,いいぞ民間人。お前には素質がありそうだ
5,すぐに移動した方が良さそうだ。行くぞ、ついて来い！
5,格納庫にコンバットフレームがあるはずだ
5,あのロボットみたいなやつだよな
