type,genre,words
chat,yes,はい
chat,yes,問題ない
chat,yes,わかった
chat,yes,おお
chat,yes,Sir! Yes! Sir!
chat,yes,よし
chat,yes,かまわん
chat,yes,よかろう
chat,yes,絶対だ
chat,yes,まかせろ
chat,yes,なんとかしてやる
chat,yes,名誉にかけて
chat,no,だめだ
chat,no,断る
chat,no,無理だ
chat,no,それは難しい
chat,no,それはまずい
chat,no,すまない
chat,no,いや待て
chat,no,期待にはこたえられない
chat,no,次の機会にな
chat,no,その余裕がない
chat,no,できたら、とっくにやってる
chat,aimai,がんばるよ
chat,aimai,努力はする
chat,aimai,時間をくれ
chat,aimai,できたらな
chat,aimai,できないとはいわないが
chat,aimai,明日考えよう
chat,aimai,かもしれないな
chat,aimai,そういう噂だ
chat,aimai,って話だな
chat,aimai,いい質問だ
chat,aimai,うまいこというな
chat,aimai,ああそうかよ
chat,thx,ありがとう
chat,thx,礼をいっておこう
chat,thx,命の恩人だ
chat,thx,この借りは倍にして返すぜ
chat,thx,今度は俺が助けてやるからな
chat,thx,EDFは仲間を見捨てない。本当だな。
chat,thx,愛してるぞ！
chat,agree,そうだな
chat,agree,その通りだ
chat,agree,正解だ
chat,agree,間違いない
chat,agree,それが正しい
chat,agree,お前は間違ってない
chat,agree,当たり前だ
chat,agree,やってみろ
chat,agree,任せたぞ
chat,disagree,違う
chat,disagree,そんなことはない
chat,disagree,そうみえるだけだ
chat,disagree,見間違いだ
chat,mistake,間違えた
chat,mistake,撤回する
chat,mistake,なかったことにしろ
chat,mistake,やりなおしだ
chat,mistake,チャットの選択ミスだ
chat,mistake,ボタンを間違えた
chat,mistake,武器を間違えた
chat,mistake,目標を間違えた
chat,mistake,距離を間違えた
chat,mistake,作戦を間違えた
chat,mistake,ビークルを間違えた
chat,mistake,難易度を間違えた
chat,mistake,設定を間違えた
chat,preasure,やったぜ！
chat,preasure,オオーーッ！
chat,preasure,イエーーーーッ！
chat,preasure,やったぜ
chat,preasure,命中！
chat,preasure,復帰したぞ！
chat,preasure,楽勝だな！
chat,laugh,ハハハ
chat,laugh,アッハッハ
chat,laugh,クスクス
chat,laugh,フッ
chat,laugh,おもしろい奴だ
chat,laugh,イヒヒ
chat,agree,コラ！
chat,agree,危険だ！
chat,agree,待つんだ！
chat,agree,味方に当たってるぞ！
chat,agree,攻撃するな！
chat,agree,無茶するな！
chat,agree,もっと仲間を頼れ！
chat,agree,先に行かないでくれ！
chat,agree,じっとしてるんだ！
chat,agree,ビークルを大事にしろ！
chat,sad,失望したぞ
chat,sad,惜しい！
chat,sad,無念だ
chat,sad,しゅーん
chat,sad,くやしいです
chat,sad,失敗した
chat,sad,気絶した
chat,sad,狙いがそれた
chat,sad,爆発した
chat,sad,何かが爆発した
chat,sad,救助失敗だ
chat,sad,救助する体力がない
chat,sad,体力がない
chat,sad,回復できなかった
chat,sad,落ちた
chat,sad,ビークルに乗れなかった
chat,sad,おいていかれた
chat,sad,おいつけない
chat,sad,活躍できなかった
chat,sad,もう少しでクリアできそうだった
chat,surprised,！
chat,surprised,あっ！
chat,surprised,えっ！
chat,surprised,そうなのか！？
chat,surprised,確かか？
chat,surprised,ありえない！
chat,surprised,どうなってる！？
chat,surprised,何がおこった！？
chat,surprised,ガーン！
chat,surprised,そんなバカな！
chat,surprised,すごいな
chat,surprised,敵が来たぞ！
chat,surprised,数が多いぞ！
chat,surprised,速い！
chat,surprised,弱い！
chat,surprised,捕まった！
chat,surprised,予定と違う
chat,relief,ふう
chat,relief,もう安心だ
chat,relief,きりぬけた
chat,relief,生き残ったぞ
chat,relief,勝てた
chat,relief,勝てるかもしれない
chat,relief,役に立ててよかった
chat,relief,復活できてよかった
chat,relief,アイテムを回収できてよかった
chat,relief,追いついた
chat,confused,？
chat,confused,なぜ？
chat,confused,こんなはずでは
chat,confused,どうすればいいんだ
chat,confused,勝てるはずだった
chat,confused,あっという間にやられた
chat,confused,予想より強い
chat,confused,予想より速い
chat,confused,この武器はダメだ
chat,shout,おおぉぉぉーーーーーっ！
chat,shout,ウオォォォーーー！！
chat,shout,ＥＤＦッッ！
chat,shout,ＥＤＦッッ！ＥＤＦッッ！！
chat,shout,ウォォォ！！
chat,shout,撃てーっ！
chat,shout,攻撃しろ！！
chat,shout,前進ーっ！
chat,screem,うあぁ！
chat,screem,ぐはぁ！
chat,screem,ぎゃぁぁ！！
chat,screem,やめろーっ！
chat,screem,被弾しました
chat,sing,我らは歩兵隊。燃えたぎる闘志のタフガイだ。
chat,sing,勝利の凱歌には、俺達の犠牲が必要だ。
chat,sing,煌めく閃光は、空を舞う戦士の稲妻だ。
chat,sing,さあ、今すぐ銃をとれ。押し寄せる円盤撃ち落とせ。
chat,greeting,やあ
chat,greeting,よろしく
chat,greeting,ふつつかものですが、よろしく願います
chat,greeting,おはよう
chat,greeting,こんばんは
chat,greeting,共に戦います
chat,greeting,歓迎する
chat,greeting,またな
chat,greeting,あばよ
chat,greeting,寝る
chat,greeting,この戦いが終わったら離隊する
chat,sorry,すまない
chat,sorry,謝罪する
chat,sorry,反省している
chat,sorry,悪気はなかった
chat,sorry,悪いな
chat,forgive,問題ない
chat,forgive,気にするな
chat,forgive,そういうこともある
chat,forgive,心配するな
chat,forgive,楽しめている
chat,forgive,戦友だろ
chat,praise,グッジョブ
chat,praise,お見事！
chat,praise,うまい！
chat,praise,よくやった！
chat,praise,いいぞ！
chat,praise,その調子でやれ！
chat,praise,やるな！
chat,praise,たいしたもんだ！
chat,praise,いい仕事をしたな
chat,praise,天才だな
chat,praise,いい武器だ
chat,encourage,がんばれ
chat,encourage,勝てるぞ！
chat,encourage,しっかりしろ！
chat,encourage,おい！　無事か？
chat,encourage,諦めたら終わりだぞ！
chat,encourage,弱気になるな。お前ならできる。
chat,encourage,ひるむな！　撃て！
chat,encourage,こらえろ！　撃ち続けるんだ！
chat,encourage,引き金を引け！　敵を撃て！
chat,encourage,なんとかしてやる！
chat,encourage,助けに行くぞ！
chat,encourage,守ってやるぞ
chat,encourage,死ぬな。連れて帰ってやる
chat,encourage,死ぬんじゃないぞ
chat,encourage,絶対に死ぬな！
chat,encourage,無理をするな
chat,mediate,冷静になれ
chat,mediate,ＥＤＦの誇りを思い出せ
chat,mediate,仲良くやろう
chat,mediate,のんびりやろう
chat,mediate,次はがんばればいい
chat,helpme,助けてくれーーっ！
chat,helpme,誰か来てくれ！
chat,helpme,援護が必要だ！
chat,helpme,救助してくれ！
chat,helpme,ここにいる！　早く来てくれ！
chat,helpme,サポートしてくれ
chat,helpme,ビークルが必要だ！
chat,helpme,ミサイルが必要だ
chat,helpme,かまわず戦ってくれ
chat,restart,再出撃する
chat,restart,退却する
chat,restart,武器を変更するために退却するぞ
chat,restart,体力を増やして出直すぞ
chat,restart,楽勝だが退却する
chat,restart,難しいミッションにする
chat,restart,難易度を変える
chat,restart,難易度を下げる
